lat,lon,stop_sequence,shape_dist
40.71182,-74.09229,13,1.76
40.73014000000001,-74.06500000000001,34,4.041
40.71675,-74.03761,49,6.721
40.71654,-74.08554000000001,18,2.242
40.73523,-74.06241,36,4.631
40.70868,-74.08151000000001,16,1.436
40.73909,-74.05403000000001,36,4.31
40.70046000000001,-74.09135,8,0.666
40.74099,-74.04974,40,4.694
40.73602,-74.05608000000001,34,4.072
40.69773,-74.09270000000001,6,0.444
40.73602,-74.05608000000001,34,4.072
40.70149000000001,-74.09583,7,0.897
40.73746000000001,-74.05515000000001,35,4.183
40.72580000000001,-74.06942000000001,30,3.579
40.70757,-74.08284,15,1.332
40.74199,-74.05164,39,4.573
40.70113000000001,-74.09039,9,0.737
40.73608,-74.03461,48,6.961
40.74199,-74.05164,39,4.573
40.71355000000001,-74.08933,15,1.955
40.69392000000001,-74.09542,2,0.144
40.69768000000001,-74.10068000000001,3,0.452
40.72556,-74.05202000000001,42,5.551
40.72565,-74.06769000000001,28,2.87
40.72292,-74.06909,26,2.633
40.70046000000001,-74.09135,8,0.666
40.74199,-74.05164,39,4.573
40.72745,-74.07607,27,3.146
40.71751,-74.07231,23,2.224
40.71592,-74.08635000000001,17,2.182
40.72556,-74.05202000000001,42,5.551
40.72919,-74.05509,40,5.25
40.70868,-74.08151000000001,16,1.436
40.72124,-74.08105,22,2.643
40.70216000000001,-74.08922000000001,10,0.83
40.73888,-74.04249,47,6.371
40.72344,-74.07912,24,2.826
40.69681000000001,-74.09308,5,0.378
40.73602,-74.05608000000001,34,4.072
40.71967,-74.07106,24,2.386
40.69834,-74.09952000000001,4,0.536
40.73205,-74.06202,35,4.302
40.7453,-74.0434,45,5.272
40.73746000000001,-74.05515000000001,35,4.183
40.71592,-74.08635000000001,17,2.182
40.71693,-74.03922,48,6.636
40.72565,-74.06769000000001,28,2.87
40.71463000000001,-74.08804,16,2.056
40.69444,-74.09493,3,0.188
40.73909,-74.05403000000001,36,4.31
40.71736000000001,-74.08463,19,2.316
40.69392000000001,-74.09542,2,0.144
40.70464,-74.08641,12,1.056
40.73608,-74.03461,48,6.961
40.72565,-74.06769000000001,31,3.689
40.70813,-74.09641,10,1.425
40.71952,-74.04320000000001,46,6.236
40.71355000000001,-74.08933,15,1.955
40.72622,-74.07051000000001,29,3.515
40.74003,-74.04716,41,4.844
40.69555,-74.09891,2,0.278
40.69548,-74.09396000000001,4,0.276
40.70998,-74.08011,17,1.552
40.74199,-74.05164,39,4.573
40.71592,-74.08635000000001,17,2.182
40.73261,-74.05747000000001,38,4.98
40.69555,-74.09891,2,0.278
40.72198,-74.08042,23,2.704
40.72319,-74.04929,44,5.769
40.72443000000001,-74.07825000000001,25,2.908
40.71675,-74.03761,49,6.721
40.73602,-74.05608000000001,34,4.072
40.71111000000001,-74.07870000000001,18,1.659
40.74242,-74.04524,43,5.051
40.70868,-74.08151000000001,16,1.436
40.74114,-74.04606000000001,42,4.953
40.71182,-74.09229,13,1.76
40.72319,-74.04929,44,5.769
40.74003,-74.04716,41,4.844
40.72675,-74.06728000000001,32,3.768
40.73888,-74.04249,47,6.371
40.72344,-74.07912,24,2.826
40.70216000000001,-74.08922000000001,10,0.83
40.74003,-74.04716,41,4.844
40.72443000000001,-74.07825000000001,25,2.908
40.70757,-74.08284,15,1.332
40.69768000000001,-74.10068000000001,3,0.452
40.72167,-74.0463,45,5.958
40.73909,-74.05403000000001,36,4.31
40.71463000000001,-74.08804,16,2.056
40.71704,-74.03417,50,6.951
40.74736,-74.04209,46,5.43
40.72467,-74.05106,43,5.631
40.72159000000001,-74.06989,25,2.532
40.70149000000001,-74.09583,7,0.897
40.69392000000001,-74.09542,2,0.144
40.74114,-74.04606000000001,42,4.953
40.72565,-74.06769000000001,31,3.689
40.73523,-74.06241,36,4.631
40.70998,-74.08011,17,1.552
40.71270000000001,-74.09079000000001,14,1.86
40.69548,-74.09396000000001,4,0.276
40.71198,-74.0779,19,1.732
40.73544,-74.02921,50,7.248
40.73427,-74.05892,37,4.843
40.71736000000001,-74.08463,19,2.316
40.72467,-74.05106,43,5.631
40.72675,-74.06728000000001,29,2.949
40.71654,-74.08554000000001,18,2.242
40.73049,-74.05579,39,5.151
40.71556,-74.07473,22,2.03
40.73544,-74.02921,50,7.248
40.72745,-74.07607,27,3.146
40.70566,-74.08516,13,1.153
40.73888,-74.04249,47,6.371
40.72580000000001,-74.06942000000001,30,3.579
40.70464,-74.08641,12,1.056
40.69209,-74.09669000000001,1,0.0
40.73427,-74.05892,37,4.843
40.73049,-74.05579,39,5.151
40.72565,-74.06769000000001,31,3.689
40.69834,-74.09952000000001,4,0.536
40.72565,-74.06769000000001,31,3.689
40.70460000000001,-74.09814,8,1.147
40.73261,-74.05747000000001,38,4.98
40.70464,-74.08641,12,1.056
40.69548,-74.09396000000001,4,0.276
40.73205,-74.06200000000001,32,3.484
40.69548,-74.09396000000001,4,0.276
40.73014000000001,-74.06500000000001,31,3.223
40.71967,-74.07106,24,2.386
40.71654,-74.08554000000001,18,2.242
40.70353,-74.08767,11,0.955
40.70813,-74.09641,10,1.425
40.71355000000001,-74.08933,15,1.955
40.71592,-74.08635000000001,17,2.182
40.72167,-74.0463,45,5.958
40.72928,-74.06602000000001,30,3.143
40.72292,-74.06909,26,2.633
40.72159000000001,-74.06989,25,2.532
40.69444,-74.09493,3,0.188
40.73602,-74.05608000000001,34,4.072
40.72663,-74.07152,28,3.455
40.72198,-74.08042,23,2.704
40.70353,-74.08767,11,0.955
40.74003,-74.04716,41,4.844
40.72565,-74.06769000000001,31,3.689
40.70868,-74.08151000000001,16,1.436
40.69773,-74.09270000000001,6,0.444
40.69209,-74.09669000000001,1,0.0
40.74003,-74.04716,41,4.844
40.72344,-74.07912,24,2.826
40.69548,-74.09396000000001,4,0.276
40.70813,-74.09641,10,1.425
40.71664000000001,-74.03534,51,7.067
40.73909,-74.05403000000001,36,4.31
40.70938,-74.09505,11,1.537
40.72622,-74.07051000000001,29,3.515
40.72159000000001,-74.06989,25,2.532
40.69681000000001,-74.09308,5,0.378
40.69773,-74.09270000000001,6,0.444
40.71182,-74.09229,13,1.76
40.71675,-74.03761,49,6.721
40.72441000000001,-74.06937,27,2.738
40.70998,-74.08011,17,1.552
40.69914,-74.09782000000001,5,0.641
40.72928,-74.06602000000001,33,3.962
40.70683,-74.08374,14,1.263
40.74063,-74.05301,37,4.429
40.72344,-74.07912,24,2.826
40.70998,-74.08011,17,1.552
40.73571,-74.03253000000001,49,7.073
40.71654,-74.08554000000001,18,2.242
40.71704,-74.03417,50,6.951
40.73466000000001,-74.05862,33,3.851
40.71463000000001,-74.08804,16,2.056
40.69837,-74.09196,7,0.508
40.74099,-74.04974,40,4.694
40.72928,-74.06602000000001,33,3.962
40.70813,-74.09641,10,1.425
40.72919,-74.05509,40,5.25
40.74063,-74.05301,37,4.429
40.72580000000001,-74.06942000000001,30,3.579
40.74242,-74.04524,43,5.051
40.71980000000001,-74.08218000000001,21,2.528
40.69837,-74.09196,7,0.508
40.73909,-74.05403000000001,36,4.31
40.70353,-74.08767,11,0.955
40.70464,-74.08641,12,1.056
40.74736,-74.04209,46,5.43
40.72467,-74.05106,43,5.631
40.73466000000001,-74.05862,33,3.851
40.71100000000001,-74.09334000000001,12,1.68
40.72556,-74.05202000000001,42,5.551
40.73466000000001,-74.05862,33,3.851
40.73014000000001,-74.06500000000001,34,4.041
40.71442,-74.07565000000001,21,1.938
40.69914,-74.09782000000001,5,0.641
40.71693,-74.03922,48,6.636
